Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
"St. Boltoph'S Priory, Or, The Sable Mask. An Historical Romance","Curties, T. J. Horsley",1806,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Zofloya, Or, The Moor. A Romance Of The Fifteenth Century","Dacre, Charlotte",1806,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",,,,,,,,,,,,,,,
The Forest Of St. Bernardo,"Hamilton, Ann Mary",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"The Mysterious Freebooter, Or, The Days Of Queen Bess. A Romance","Lathom, Francis",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=9H4jT25HBhUC&redir_esc=y,,,,,,,,,,
"The Invisible Enemy, Or, The Mines Of Wielitska. A Polish Legendary Romance","Lathy, Thomas Pike",1806,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/mysteriousfreeb01lathgoog,,,,,,,,,,
"Feudal Tyrants, Or, The Counts Of Carlsheim And Sargans. A Romance. Taken From The German","Lewis, Matthew",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/feudaltyrantsorc01lewi,,,,,,,,,,
The Novice Of Saint Dominick,"Owenson, Sydney",1806,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://play.google.com/store/books/details?id=KyPRRCVWjqUC&rdid=book-KyPRRCVWjqUC&rdot=1,,,,,,,,,,
"Montbrasil Abbey, Or, Maternal Traits. A Tale","Stanhope, Louisa Sidney",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
Two Girls Of Eighteen,"Walker, George",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,https://en.wikipedia.org/wiki/George_Walker_(novelist),,,,,,,,,,,,,,,
The Monk Of Udolpho,"Curties, T. J. Horsley",1807,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
The Libertine,"Dacre, Charlotte",1807,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"The Wood Daemon, Or, ""The Clock Has Struck""","Lewis, Matthew",1807,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Fatal Revenge, Or, The Family Of Montorio. A Romance","Maturin, Charles Robert",1807,Romantic,Novel,Gothic,Irish,"Murphy, Dennis Jasper",,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/fatalrevengeorfa03matu,,,,,,,,,,
The Demon Of Sicily,"Montague, Edward",1807,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/demonsicily03montgoog,,,,,,,,,,
